user,join_date,move_date1,move_date2,termination_date,department,job_role,location
user1,2025-10-01,,,,Finance,Manager,India
user2,2025-10-06,,,,DataScience,Analyst,India
user3,2025-10-01,2025-10-18,,2025-11-06,Support,Manager,Singapore
user4,2025-10-04,2025-10-22,,2025-11-28,Finance,Manager,Germany
user5,2025-10-03,2025-10-19,,,Engineering,Analyst,India
user6,2025-10-03,,,,Engineering,Manager,Germany
user7,2025-10-05,2025-10-27,2025-11-15,,DataScience,Developer,Singapore
user8,2025-10-02,,,2025-11-08,HR,Intern,USA
user9,2025-10-01,2025-10-25,,,HR,Developer,USA
user10,2025-10-06,2025-10-18,,2025-11-28,Finance,Associate,Germany
user11,2025-10-04,2025-10-21,,,Engineering,Associate,India
user12,2025-10-03,,,2025-11-20,Support,Developer,USA
user13,2025-10-06,,,,Support,Analyst,USA
user14,2025-10-03,2025-10-21,,,DataScience,Analyst,UK
user15,2025-10-02,,,2025-11-16,Engineering,Intern,India
user16,2025-10-02,,,,DevOps,Senior,India
user17,2025-10-04,2025-10-28,,,Engineering,Manager,India
user18,2025-10-06,,,,Support,Developer,India
user19,2025-10-03,,,,Support,Manager,UK
user20,2025-10-05,,,,Engineering,Manager,UK
user21,2025-10-06,,,2025-11-16,Finance,Senior,Singapore
user22,2025-10-01,,,,Engineering,Developer,UK
user23,2025-10-02,2025-10-14,2025-11-08,,DataScience,Associate,USA
user24,2025-10-06,,,,HR,Senior,Singapore
user25,2025-10-04,,,,Support,Manager,USA
user26,2025-10-06,2025-10-27,,,Engineering,Associate,USA
user27,2025-10-01,2025-10-18,,2025-11-22,Support,Intern,USA
user28,2025-10-01,,,,Engineering,Senior,USA
user29,2025-10-03,,,,Finance,Manager,Singapore
user30,2025-10-05,,,,DevOps,Associate,India
user31,2025-10-01,,,,DevOps,Analyst,India
user32,2025-10-06,,,,Engineering,Analyst,UK
user33,2025-10-01,2025-10-17,,2025-11-05,HR,Analyst,USA
user34,2025-10-01,,,,DataScience,Intern,India
user35,2025-10-06,,,,Engineering,Associate,USA
user36,2025-10-04,,,,DevOps,Intern,USA
user37,2025-10-04,2025-10-26,2025-11-19,,Support,Manager,Singapore
user38,2025-10-06,,,2025-11-14,Finance,Intern,Singapore
user39,2025-10-06,,,,Engineering,Intern,Singapore
user40,2025-10-04,,,,Finance,Intern,Singapore
user41,2025-10-01,,,2025-11-02,Support,Associate,Germany
user42,2025-10-01,,,,DataScience,Senior,India
user43,2025-10-05,2025-10-25,,,Support,Developer,USA
user44,2025-10-03,2025-10-22,,,Engineering,Intern,Germany
user45,2025-10-05,,,,Engineering,Senior,USA
user46,2025-10-05,2025-10-26,,,HR,Developer,USA
user47,2025-10-04,,,,DataScience,Manager,Singapore
user48,2025-10-01,,,,Support,Intern,USA
user49,2025-10-03,2025-10-16,,2025-11-11,DataScience,Associate,UK
user50,2025-10-02,,,,DataScience,Analyst,UK
