req_id,user,ts,device,ip,country,mfa,status,session_id
8148c04f-b9f8-46ed-a91b-bbe6f62782ee,user31,2025-10-01 01:15:54,iPhone,79.163.74.224,USA,Email,FAILED,
368dc053-120e-41bc-a425-65c530a7423b,user1,2025-10-01 03:56:27,Mac,210.169.90.179,Japan,TOTP,SUCCESS,f15a6126-67c2-40eb-b458-5e65f2a0f096
e04612fa-6550-4f13-8ba0-fa6f38574cb9,user31,2025-10-01 04:33:19,Mac,219.241.83.111,Brazil,Email,SUCCESS,dd598874-4ebd-42e1-ba56-7dd3fc28e3a3
d4667765-7f7c-411e-ab35-647e12d3c428,user31,2025-10-01 04:51:36,Mac,21.116.133.156,UK,SMS,SUCCESS,de5c9349-f609-4f8d-8fed-cc14ba8f627f
8a853e2f-4d04-4dcd-aca0-eb41545006a6,user27,2025-10-01 07:10:01,Linux,81.148.22.29,Brazil,Push,SUCCESS,caaa04f7-0c6f-4e3a-bc7a-3f7b5c5d4f1d
932a4fc1-568b-4e82-8f8b-837861eb2e57,user9,2025-10-01 08:05:36,iPhone,182.194.149.118,USA,Email,FAILED,
2e905461-884d-4175-99ea-3a41bea629c0,user33,2025-10-01 09:56:33,Linux,212.113.220.158,Singapore,TOTP,SUCCESS,7b775558-5c61-4770-8b33-fdc71a54a9d3
c5037bd4-6356-4ffd-bd47-f50d483feea1,user28,2025-10-01 12:29:31,iPhone,209.111.181.104,Singapore,Push,SUCCESS,0aff5b6a-f7c6-4b41-9b0a-48f009c8536f
392fc327-f11a-4912-af8d-9262643e14e8,user3,2025-10-01 14:17:24,iPhone,210.57.23.74,Singapore,Email,SUCCESS,77c6da29-5bde-4664-800f-56cd4401ca3b
0ebce001-d425-49a2-8df6-20ce48d0c977,user41,2025-10-01 18:09:59,Linux,212.152.32.14,Australia,Email,SUCCESS,480361db-2d26-4388-8ccc-0d31c9c9763c
9fa0bb9b-d63d-4702-93f2-0e1987f38c0a,user28,2025-10-02 00:02:52,Linux,250.178.102.176,Australia,Push,SUCCESS,1154b2dc-997f-4d52-976c-f5b651da3b78
02ea7332-d0ab-465f-b167-a0c6a205e1c2,user16,2025-10-02 05:07:09,Linux,141.134.96.180,India,TOTP,SUCCESS,c5f4a5fd-d748-41dc-ba40-5088ff2f92de
f4d6502f-bb59-4751-9ca4-8e519e995064,user8,2025-10-02 06:02:12,iPhone,123.167.52.194,Germany,SMS,SUCCESS,6213d9d3-0501-48c1-8b20-7121c84dca5c
f79ec944-9f60-43eb-950b-fe5e896bccdf,user41,2025-10-02 08:14:28,iPhone,32.203.45.167,USA,SMS,FAILED,
8b6a7751-3543-4821-be4a-abc607c55d61,user41,2025-10-02 08:35:17,Android,212.12.158.87,Singapore,TOTP,SUCCESS,8910e0f7-8d1e-4a4a-aa3d-9bd520633fe6
d2e2b3da-6115-4458-a626-9cb28972f752,user31,2025-10-02 12:59:25,Mac,156.122.2.231,Germany,TOTP,SUCCESS,ddbb0952-555f-491f-b294-7227938172f7
9b0dfb74-f5af-4986-8f7c-ea46cc1f018d,user16,2025-10-02 13:09:14,Windows,11.40.238.83,India,TOTP,SUCCESS,76f5b123-4296-4d1e-8ebe-07dea7f9b21d
697b09bf-be70-4b1a-9844-aa8d24cb8404,user33,2025-10-02 13:21:05,Windows,18.234.247.99,Australia,SMS,SUCCESS,1e1414b5-262a-44b5-add8-9acd1e7a3695
08ed48b6-cc15-4744-b3b7-ef3b79cdf79c,user15,2025-10-02 13:34:02,iPhone,219.127.223.43,Germany,TOTP,SUCCESS,bb84b3f8-f5fa-4cda-955b-eb50a51c97c6
b71ffa31-12f3-422c-a98d-2e387ad536c9,user9,2025-10-02 13:47:42,Android,218.194.116.85,Singapore,Push,SUCCESS,67eca020-c8c9-48f8-8d08-fe75ea1a2227
0597bbfa-f730-474f-a700-3d4b25316653,user15,2025-10-02 14:24:02,Linux,216.143.186.189,Japan,TOTP,FAILED,
98059ca9-011a-457e-b1c4-87462642dedd,user9,2025-10-02 14:58:29,Linux,200.138.218.188,Singapore,Email,SUCCESS,dd7b0f21-76d6-4860-9823-038196118708
31bf8f7e-f907-4986-a92a-e871b9597207,user27,2025-10-02 19:20:55,Windows,170.247.211.191,Germany,Email,SUCCESS,1df279b7-b0ca-4c51-89dc-20c58fd0a370
2390dec8-18f2-49ed-8a3d-466ad663781a,user31,2025-10-02 20:12:41,Windows,218.123.31.216,Singapore,SMS,SUCCESS,e70ea8e1-2444-41a3-97dc-589106897cb4
a2a86af2-cfb9-47ba-b9a4-2936ca18cf83,user15,2025-10-02 20:52:25,Windows,67.187.234.98,USA,SMS,SUCCESS,e712c866-3feb-4be2-ac72-6b7cb320321a
