req_id,user,ts,app,role,status,approver,justification
4c01fc74-1a84-43b1-acb2-dd228eae6280,user31,2025-10-02 02:07:32,Snowflake,Editor,REJECTED,user29,Project Work
5b6055d0-54cf-4639-968f-2f01b7c56d3a,user41,2025-10-02 12:01:02,Snowflake,Editor,PENDING,user6,Emergency
2c49bfdc-1aa5-431d-806e-ac6b4168dfcd,user22,2025-10-02 14:11:23,Jira,Editor,APPROVED,user18,Project Work
0e45d4cf-4dba-40b9-b289-a70419d79683,user28,2025-10-02 15:30:39,Snowflake,Reader,REJECTED,user36,Project Work
71ba483e-4317-420c-a13e-33f3a27365eb,user15,2025-10-03 01:00:35,Workday,Reader,APPROVED,user22,BAU
54051b9c-148f-4394-9326-d32b45df1e5c,user31,2025-10-03 07:29:13,Snowflake,Editor,APPROVED,user12,Project Work
95758258-8d87-459a-915c-8693af3f6971,user28,2025-10-03 11:20:18,SAP,Editor,REJECTED,user26,BAU
1f68baa5-53ee-4992-838e-2c30cac2725a,user27,2025-10-03 19:09:30,Snowflake,Editor,REJECTED,user30,BAU
a3b477cd-e51a-4ab7-b263-c5e202647f6d,user8,2025-10-04 04:06:12,Snowflake,Reader,REJECTED,user12,BAU
7f87cd67-a4cc-4db4-b723-7735af8ec4b1,user8,2025-10-04 04:08:43,Databricks,Reader,PENDING,user16,Emergency
4d30ffa7-3086-413f-ab81-ff4a34fafd3a,user42,2025-10-04 21:05:12,GitHub,Editor,REJECTED,user18,Project Work
53eb2470-ba66-4ff5-9bf3-a6036ab5abb3,user17,2025-10-05 00:52:52,GitHub,Reader,REJECTED,user13,Project Work
e9acb8dc-11af-4ad8-94dc-1b6fd2bb69fd,user4,2025-10-05 05:18:35,GitHub,Reader,REJECTED,user20,BAU
99096180-c22e-4bf3-a56d-86a1caa4be78,user45,2025-10-05 07:36:46,Databricks,Reader,REJECTED,user32,Project Work
9812fce7-161c-40de-a265-28aedb30a13f,user17,2025-10-05 22:16:09,SAP,Editor,PENDING,user23,Project Work
ae4ce739-9812-4946-bf46-e05f0a5a95f5,user45,2025-10-05 22:57:58,GitHub,Reader,PENDING,user47,Project Work
d320074d-1f8d-4a8d-9be0-5d38efb2846e,user35,2025-10-06 01:23:20,Jira,Reader,APPROVED,user5,Emergency
7da284e1-50c0-4acb-a50e-f58b3cf62ddd,user17,2025-10-06 06:37:45,GitHub,Editor,APPROVED,user4,Emergency
980e07e4-d144-4108-ba59-fa5c2a10374a,user31,2025-10-06 06:41:08,Salesforce,Reader,REJECTED,user14,Emergency
043a7bd6-8544-453b-a3d9-ea0e83ed065a,user26,2025-10-06 07:06:52,GitHub,Editor,PENDING,user31,Emergency
2264efba-5781-4db7-a183-b63bad14b142,user21,2025-10-06 13:58:47,GitHub,Reader,PENDING,user50,Project Work
658bc845-297b-4b04-9018-4421a3ee93bd,user5,2025-10-06 18:21:02,Workday,Reader,REJECTED,user19,BAU
8d6d0b8b-cb73-4338-987c-ae2958e30fdd,user30,2025-10-06 20:52:08,Jira,Editor,APPROVED,user43,Emergency
b9bfb837-92c4-48d5-8711-ee04b399e0f8,user38,2025-10-06 23:55:40,SAP,Editor,PENDING,user7,Project Work
d593038b-c884-4eb3-9ba7-b886d14d7c2e,user26,2025-10-07 01:25:53,GitHub,Editor,APPROVED,user10,Project Work
7cf88bf6-9aab-4ca7-83e1-f637c8ff2d9d,user37,2025-10-07 01:26:32,GitHub,Editor,REJECTED,user2,Project Work
8af0f73f-c767-4be7-90ec-6e0bae226de1,user39,2025-10-07 02:04:58,Snowflake,Editor,PENDING,user1,BAU
20c02a7b-356e-45af-8e98-9c8f5131fba2,user38,2025-10-07 03:35:13,Jira,Editor,REJECTED,user45,Project Work
c6d66ac6-92de-4c90-8ec3-ed962205cfb2,user8,2025-10-07 15:32:07,Snowflake,Editor,APPROVED,user43,Project Work
765a447d-23f3-420f-8ccc-869682af644d,user24,2025-10-07 17:16:00,GitHub,Editor,REJECTED,user16,BAU
342a389d-bc1f-465d-ab71-6269d1b6be9a,user37,2025-10-07 18:06:40,Workday,Editor,APPROVED,user31,Project Work
8fba1cc0-ed98-4402-bf99-afe91cc015ed,user17,2025-10-07 22:16:07,SAP,Editor,PENDING,user30,Emergency
20ee417d-cf99-459b-ada3-38197c0660c8,user38,2025-10-07 22:23:22,Salesforce,Editor,REJECTED,user28,BAU
c7eb3396-3b92-48f5-a887-07c4ee0ae05f,user2,2025-10-08 03:31:55,Salesforce,Editor,PENDING,user4,Project Work
ed51d483-4921-415b-a0da-e0550109e071,user15,2025-10-08 08:06:27,GitHub,Editor,PENDING,user49,Emergency
b76ee81f-d21f-489a-a81f-04e7f0f8ed31,user39,2025-10-08 08:10:43,Snowflake,Reader,PENDING,user12,Emergency
6616041d-beb3-4ba3-b1ab-8ae47fc271e7,user16,2025-10-08 09:50:41,Salesforce,Editor,REJECTED,user38,Project Work
1c51181e-a3fa-45cb-bad5-7de71970c000,user10,2025-10-08 10:58:32,Snowflake,Editor,APPROVED,user39,Emergency
29e73c4d-2921-4a3e-b7a3-b8ab3b14a5a0,user6,2025-10-08 16:36:15,Workday,Editor,PENDING,user46,Emergency
e4c02114-af61-4266-aea9-b42b2a9fc72c,user34,2025-10-08 22:28:33,Snowflake,Editor,PENDING,user35,BAU
d499216e-6b34-4b22-8d23-01502be31083,user32,2025-10-08 22:45:41,Databricks,Editor,APPROVED,user8,BAU
a137b113-2e9b-47f1-ae6a-972a79be58b8,user45,2025-10-08 23:37:03,GitHub,Reader,APPROVED,user36,Emergency
36d7039c-c2e1-431f-8738-4480b46025b3,user39,2025-10-09 06:08:47,Jira,Editor,PENDING,user45,Project Work
8a2a3a6d-56fb-4952-a8a5-7a3c4b9bdc9d,user15,2025-10-09 07:33:31,GitHub,Editor,REJECTED,user16,Emergency
7f4bd8f8-adf3-4efa-97ff-77c5dbf502c8,user4,2025-10-09 17:49:14,Snowflake,Editor,APPROVED,user1,Emergency
30f8db48-b936-4be4-bb40-c5a55095e394,user10,2025-10-09 23:39:28,Workday,Reader,APPROVED,user47,Project Work
f2d14631-b12e-49fd-83e8-fa374b411ccd,user10,2025-10-10 05:57:47,Databricks,Reader,REJECTED,user17,BAU
5362b7a8-b5c7-4d77-8476-38ee2d8b5a3d,user11,2025-10-10 07:46:01,Salesforce,Editor,PENDING,user2,Emergency
025a888d-be8d-4821-9e43-4e112d04c058,user8,2025-10-10 14:17:14,Workday,Editor,APPROVED,user24,Project Work
d379d841-2571-4487-84cb-60cf215d14df,user19,2025-10-10 17:23:03,Databricks,Reader,REJECTED,user10,Emergency
e7cf9b59-1a95-4376-9ce7-59521cf3ad13,user20,2025-10-10 20:45:05,Snowflake,Editor,PENDING,user49,Emergency
c4c20f60-5934-42d2-b3a6-68be730a140e,user19,2025-10-10 21:06:22,Snowflake,Reader,PENDING,user6,BAU
